,Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
11919,640,female,group B,some college,free/reduced,none,divorced,regularly,no,2.0,private,< 5,43,62,57
11920,641,male,group D,bachelor's degree,standard,completed,married,never,no,2.0,private,< 5,90,81,85
11922,643,male,group D,high school,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,64,57,60
11925,646,male,group D,some college,standard,none,married,regularly,yes,2.0,private,< 5,85,80,78
11926,647,female,group C,bachelor's degree,free/reduced,none,single,regularly,yes,3.0,private,5 - 10,62,73,77
11929,650,female,group D,some high school,standard,none,married,sometimes,yes,0.0,private,5 - 10,68,78,77
11933,654,male,group C,some high school,free/reduced,completed,married,sometimes,no,3.0,school_bus,5 - 10,51,63,55
11935,657,male,group E,high school,standard,none,married,sometimes,yes,1.0,private,5 - 10,75,80,67
11936,658,male,group B,high school,standard,none,single,regularly,no,1.0,school_bus,> 10,61,62,49
11939,661,female,group B,associate's degree,free/reduced,completed,married,regularly,no,2.0,school_bus,5 - 10,44,60,63
11940,664,female,group D,high school,free/reduced,none,single,sometimes,yes,2.0,school_bus,5 - 10,38,56,57
11944,668,male,group A,some college,standard,none,married,never,no,2.0,school_bus,5 - 10,56,62,61
11945,669,male,group B,some college,standard,none,married,regularly,yes,4.0,school_bus,> 10,85,81,79
11946,670,male,group D,high school,standard,completed,married,regularly,yes,1.0,school_bus,5 - 10,76,70,74
11947,671,male,group A,some college,free/reduced,none,single,regularly,yes,0.0,school_bus,5 - 10,85,74,73
11949,673,male,group C,associate's degree,standard,none,married,never,yes,3.0,school_bus,5 - 10,66,64,58
11950,674,female,group C,associate's degree,free/reduced,none,married,regularly,yes,3.0,school_bus,< 5,74,82,77
11952,676,male,group D,bachelor's degree,standard,none,divorced,sometimes,yes,2.0,school_bus,> 10,100,87,93
11955,679,female,group B,master's degree,free/reduced,none,single,regularly,no,3.0,school_bus,< 5,41,49,43
11960,684,female,group E,some college,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,66,69,66
11961,685,female,group D,some high school,standard,completed,married,sometimes,yes,1.0,school_bus,> 10,88,100,100
11966,690,male,group A,bachelor's degree,free/reduced,none,divorced,sometimes,no,2.0,private,5 - 10,27,32,26
11968,692,male,group C,some college,standard,none,single,regularly,yes,1.0,private,5 - 10,86,82,74
11969,693,male,group C,some college,standard,completed,married,sometimes,no,2.0,school_bus,< 5,89,91,94
11970,694,female,group A,associate's degree,free/reduced,none,married,regularly,yes,2.0,school_bus,5 - 10,67,71,66
11971,695,male,group A,some college,standard,completed,married,sometimes,yes,0.0,private,5 - 10,70,62,56
11972,696,female,group C,bachelor's degree,standard,none,single,sometimes,no,2.0,school_bus,5 - 10,71,80,82
11973,697,male,group D,master's degree,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,100,92,90
11975,699,female,group B,master's degree,free/reduced,none,married,never,yes,2.0,private,5 - 10,60,74,70
11976,700,male,group D,associate's degree,free/reduced,completed,single,never,yes,1.0,private,< 5,56,65,60
11978,702,female,group A,bachelor's degree,free/reduced,completed,single,regularly,yes,1.0,school_bus,5 - 10,52,74,72
11979,703,male,group B,some high school,free/reduced,none,married,regularly,yes,3.0,school_bus,< 5,41,46,35
11982,706,female,group D,high school,standard,none,single,regularly,no,3.0,school_bus,5 - 10,57,63,58
11984,708,male,group C,associate's degree,free/reduced,none,divorced,regularly,no,1.0,school_bus,5 - 10,30,47,39
11985,709,male,group A,some high school,standard,none,married,regularly,yes,2.0,school_bus,5 - 10,56,56,46
11986,710,female,group D,associate's degree,standard,none,divorced,regularly,yes,4.0,private,< 5,60,69,70
11987,712,female,group B,high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,< 5,85,96,92
11989,714,female,group B,high school,standard,completed,single,never,yes,2.0,private,> 10,68,88,85
11990,715,male,group D,associate's degree,standard,completed,married,sometimes,yes,2.0,school_bus,< 5,66,73,77
11991,716,female,group A,some college,standard,none,divorced,sometimes,no,1.0,private,5 - 10,62,65,69
11992,717,female,group C,high school,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,47,57,50
11993,718,male,group C,some college,standard,none,married,never,yes,0.0,school_bus,5 - 10,56,49,45
11995,720,female,group B,some college,standard,none,married,regularly,no,1.0,private,< 5,63,66,75
11997,722,female,group D,some high school,standard,none,married,regularly,no,2.0,school_bus,5 - 10,65,78,84
11998,723,male,group B,associate's degree,free/reduced,none,divorced,regularly,yes,2.0,private,5 - 10,47,36,38
12000,725,male,group E,some college,free/reduced,none,single,sometimes,yes,2.0,private,< 5,85,85,78
12001,726,male,group E,high school,standard,completed,divorced,regularly,yes,2.0,school_bus,> 10,80,71,76
12002,727,female,group D,some college,standard,none,divorced,regularly,yes,3.0,school_bus,> 10,79,77,81
12003,728,female,group E,some college,standard,none,divorced,sometimes,yes,5.0,school_bus,5 - 10,78,77,72
12004,729,female,group D,high school,standard,none,married,sometimes,no,1.0,private,5 - 10,58,63,62
12005,730,female,group A,high school,standard,none,single,sometimes,no,3.0,school_bus,< 5,50,66,66
12008,733,male,group D,some high school,standard,completed,single,sometimes,no,2.0,private,5 - 10,79,77,82
12010,735,female,group C,some high school,standard,none,married,sometimes,no,3.0,school_bus,< 5,78,80,78
12012,737,female,group B,associate's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,66,79,76
12013,738,male,group D,some college,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,79,78,79
12016,741,male,group D,high school,standard,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,65,56,52
12017,742,male,group E,associate's degree,standard,none,divorced,sometimes,yes,0.0,private,> 10,73,57,58
12018,744,male,group B,some high school,standard,none,married,sometimes,no,5.0,private,> 10,60,54,55
12019,745,female,group D,associate's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,71,84,83
12020,746,female,group C,high school,standard,none,divorced,sometimes,no,3.0,private,< 5,48,60,54
12022,748,female,group B,some high school,standard,completed,married,never,yes,3.0,school_bus,< 5,65,73,78
12023,749,female,group E,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,79,79,80
12024,750,male,group B,some high school,free/reduced,none,married,regularly,yes,2.0,private,> 10,49,46,41
12028,755,female,group C,some high school,standard,none,married,sometimes,yes,2.0,private,< 5,46,40,43
12029,756,male,group C,some high school,free/reduced,completed,single,never,yes,1.0,school_bus,> 10,76,79,77
12032,759,male,group C,associate's degree,free/reduced,none,widowed,regularly,no,2.0,school_bus,< 5,53,56,51
12033,760,female,group E,high school,standard,completed,single,regularly,no,3.0,private,5 - 10,80,91,91
12034,761,female,group C,associate's degree,free/reduced,none,single,regularly,yes,0.0,school_bus,> 10,73,93,83
12035,762,male,group E,high school,standard,none,married,regularly,yes,2.0,private,5 - 10,77,64,57
12036,763,male,group B,associate's degree,free/reduced,none,married,sometimes,yes,2.0,private,< 5,42,47,43
12037,764,female,group D,some college,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,90,87,92
12038,765,male,group D,some college,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,71,64,62
12042,770,female,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1.0,school_bus,5 - 10,64,82,78
12043,771,male,group E,some college,standard,completed,single,never,yes,2.0,private,5 - 10,97,83,85
12044,772,male,group D,some high school,standard,none,single,sometimes,no,1.0,private,> 10,60,56,51
12047,775,female,group C,some high school,free/reduced,completed,married,sometimes,no,2.0,private,5 - 10,56,65,69
12048,776,male,group C,some college,standard,none,married,regularly,yes,3.0,private,< 5,78,84,76
12050,778,male,group C,associate's degree,free/reduced,completed,single,sometimes,yes,3.0,school_bus,5 - 10,85,77,80
12051,780,female,group C,master's degree,standard,completed,married,regularly,no,1.0,school_bus,5 - 10,86,98,100
12052,781,female,group C,bachelor's degree,standard,none,married,regularly,no,1.0,school_bus,< 5,68,65,72
12054,783,female,group D,high school,standard,none,married,sometimes,yes,0.0,school_bus,< 5,50,60,57
12056,785,female,group C,high school,standard,none,single,sometimes,yes,3.0,private,5 - 10,76,89,86
12058,787,male,group A,high school,standard,none,married,sometimes,yes,5.0,private,> 10,58,58,55
12059,788,male,group B,associate's degree,standard,completed,married,regularly,yes,2.0,school_bus,5 - 10,71,69,69
12060,791,female,group D,some college,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,58,53,59
12064,796,female,group C,high school,free/reduced,none,single,sometimes,yes,3.0,private,< 5,36,49,47
12067,799,male,group E,some high school,standard,none,married,sometimes,yes,1.0,private,5 - 10,69,67,63
12068,800,male,group C,associate's degree,standard,none,married,never,yes,5.0,private,< 5,54,54,47
12070,802,male,group B,high school,standard,none,single,regularly,yes,0.0,school_bus,> 10,64,59,55
12072,804,female,group E,some college,free/reduced,completed,married,regularly,no,4.0,school_bus,> 10,59,56,57
12073,805,female,group D,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,5 - 10,79,94,89
12074,806,male,group B,some high school,free/reduced,completed,single,regularly,no,2.0,private,5 - 10,77,77,79
12075,807,female,group C,associate's degree,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,78,95,93
12076,808,male,group D,associate's degree,standard,none,married,regularly,no,4.0,private,> 10,81,76,78
12077,809,female,group D,high school,free/reduced,completed,married,sometimes,no,1.0,school_bus,5 - 10,61,65,71
12078,810,female,group C,some high school,free/reduced,completed,married,sometimes,no,2.0,school_bus,5 - 10,57,76,80
12082,816,female,group A,some high school,standard,none,widowed,regularly,yes,3.0,school_bus,< 5,68,73,76
12083,817,male,group B,some high school,free/reduced,none,married,sometimes,yes,4.0,private,< 5,67,69,65
12085,819,male,group C,some college,standard,none,single,regularly,yes,3.0,school_bus,> 10,82,66,69
12087,821,female,group B,high school,free/reduced,none,married,regularly,yes,4.0,school_bus,< 5,30,46,38
12088,822,female,group D,associate's degree,free/reduced,none,married,sometimes,yes,3.0,school_bus,< 5,36,64,57
12090,824,female,group B,some college,free/reduced,none,married,regularly,no,3.0,private,5 - 10,70,78,80
12091,825,female,group C,associate's degree,standard,none,single,regularly,yes,5.0,private,5 - 10,86,76,79
12092,826,male,group D,associate's degree,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,52,52,47
12093,827,male,group A,master's degree,free/reduced,none,married,regularly,no,3.0,private,5 - 10,49,56,53
12094,828,female,group C,some high school,standard,completed,single,sometimes,yes,3.0,private,5 - 10,45,43,54
12095,829,male,group C,some college,free/reduced,none,married,sometimes,yes,3.0,school_bus,5 - 10,65,63,55
12097,831,female,group A,associate's degree,standard,completed,married,regularly,yes,4.0,school_bus,5 - 10,55,65,68
12098,832,female,group B,associate's degree,free/reduced,completed,married,regularly,yes,0.0,private,< 5,58,70,74
12099,833,female,group C,associate's degree,free/reduced,none,divorced,never,no,3.0,school_bus,5 - 10,76,87,82
12100,834,female,group E,some high school,standard,completed,married,sometimes,yes,4.0,school_bus,5 - 10,82,86,81
12102,836,female,group B,high school,standard,completed,married,never,no,1.0,school_bus,< 5,61,77,74
12104,838,female,group D,some high school,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,63,62,66
12105,839,female,group B,bachelor's degree,free/reduced,none,married,never,yes,1.0,school_bus,< 5,58,69,65
12106,840,male,group C,bachelor's degree,standard,none,married,regularly,no,4.0,private,5 - 10,59,46,47
12107,841,female,group E,high school,standard,none,married,sometimes,yes,3.0,school_bus,> 10,93,100,96
12109,843,female,group D,some high school,standard,completed,married,sometimes,yes,2.0,school_bus,5 - 10,56,62,64
12110,844,male,group C,associate's degree,free/reduced,none,divorced,sometimes,yes,5.0,school_bus,< 5,66,66,62
12113,847,male,group D,associate's degree,free/reduced,none,married,never,yes,2.0,school_bus,< 5,67,71,69
12114,848,female,group A,master's degree,standard,none,married,sometimes,no,2.0,private,> 10,60,63,56
12115,849,male,group E,high school,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10,69,64,62
12118,853,female,group B,some college,standard,completed,married,never,yes,4.0,school_bus,< 5,78,84,90
12119,854,male,group D,bachelor's degree,standard,completed,married,sometimes,yes,3.0,school_bus,5 - 10,76,54,64
12121,856,female,group C,associate's degree,standard,none,single,regularly,no,3.0,school_bus,< 5,77,86,88
12122,859,female,group E,some college,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,76,82,80
12123,860,male,group D,bachelor's degree,standard,none,married,never,yes,5.0,school_bus,> 10,89,89,96
12125,862,male,group C,some college,free/reduced,none,married,sometimes,no,1.0,private,5 - 10,71,71,68
12127,864,female,group C,high school,standard,completed,married,regularly,yes,0.0,school_bus,5 - 10,59,80,77
12129,866,female,group B,associate's degree,standard,completed,widowed,sometimes,yes,3.0,private,5 - 10,64,83,81
12130,867,male,group B,high school,free/reduced,none,married,regularly,yes,2.0,school_bus,5 - 10,75,74,69
12131,868,male,group C,master's degree,standard,none,married,sometimes,yes,4.0,school_bus,5 - 10,69,66,67
12133,871,female,group E,high school,standard,none,married,regularly,no,1.0,private,< 5,85,93,89
12135,873,male,group C,some high school,standard,completed,married,regularly,yes,3.0,private,5 - 10,96,87,83
12136,874,female,group D,some college,standard,none,married,regularly,yes,1.0,private,> 10,75,79,83
12137,875,male,group A,some high school,free/reduced,none,divorced,regularly,no,4.0,private,> 10,56,45,44
12141,880,female,group E,high school,standard,none,divorced,never,yes,3.0,school_bus,5 - 10,90,93,88
12142,881,female,group B,some college,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,89,92,95
12146,885,female,group C,high school,standard,none,single,sometimes,yes,1.0,private,5 - 10,75,88,84
12147,886,male,group D,some high school,free/reduced,completed,married,sometimes,yes,3.0,school_bus,5 - 10,48,46,48
12149,888,male,group D,bachelor's degree,standard,completed,married,sometimes,no,4.0,school_bus,5 - 10,94,95,98
12150,889,female,group E,some high school,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,71,82,77
12151,890,male,group D,some college,standard,completed,divorced,regularly,yes,3.0,school_bus,< 5,80,65,79
12152,892,male,group C,some high school,free/reduced,completed,married,sometimes,yes,2.0,private,5 - 10,77,76,77
12153,893,female,group B,associate's degree,standard,none,married,regularly,yes,5.0,private,< 5,72,82,80
12154,894,female,group E,high school,standard,completed,single,sometimes,no,3.0,private,5 - 10,65,75,81
12156,896,male,group E,associate's degree,standard,none,married,regularly,yes,1.0,private,> 10,89,72,71
12157,897,male,group B,some college,standard,none,single,sometimes,no,1.0,private,5 - 10,75,64,63
12160,900,male,group C,some college,standard,none,married,sometimes,yes,1.0,school_bus,> 10,70,73,67
12162,902,female,group C,some high school,free/reduced,none,married,sometimes,yes,1.0,private,5 - 10,68,83,75
12163,903,female,group D,some high school,standard,none,married,never,no,2.0,school_bus,< 5,78,74,80
12164,904,male,group B,associate's degree,standard,none,married,sometimes,yes,1.0,school_bus,< 5,71,76,63
12167,907,male,group B,bachelor's degree,standard,none,single,sometimes,no,1.0,private,5 - 10,65,70,65
12168,908,female,group D,some high school,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,75,62,69
12169,909,male,group C,associate's degree,standard,completed,married,regularly,yes,2.0,school_bus,> 10,82,75,75
12170,910,female,group C,master's degree,free/reduced,none,divorced,sometimes,yes,0.0,school_bus,< 5,78,92,89
12172,912,male,group D,some high school,standard,none,married,sometimes,no,2.0,private,< 5,64,65,60
12173,913,female,group D,some college,standard,none,married,regularly,no,1.0,school_bus,< 5,53,55,57
12174,914,female,group B,some college,standard,none,married,sometimes,yes,2.0,private,5 - 10,61,67,65
12175,915,female,group C,associate's degree,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,47,56,61
12176,916,female,group B,associate's degree,standard,completed,married,regularly,yes,0.0,school_bus,< 5,85,88,98
12177,917,male,group C,some high school,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,60,58,52
12178,918,male,group E,associate's degree,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,85,82,67
12179,919,male,group B,some college,standard,completed,divorced,regularly,no,3.0,private,< 5,63,69,68
12181,921,male,group A,high school,free/reduced,none,single,sometimes,yes,0.0,school_bus,< 5,43,43,40
12182,922,female,group D,high school,free/reduced,completed,single,never,yes,3.0,private,> 10,53,71,77
12183,923,male,group D,some college,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,71,65,61
12187,927,female,group C,some high school,standard,none,single,never,yes,0.0,school_bus,> 10,52,62,58
12189,929,male,group C,some college,standard,completed,married,sometimes,yes,1.0,private,< 5,78,75,75
12191,931,male,group C,high school,free/reduced,completed,married,sometimes,yes,1.0,school_bus,< 5,57,50,51
12193,933,male,group D,some college,free/reduced,none,single,regularly,yes,2.0,private,5 - 10,48,55,56
12195,935,male,group C,master's degree,standard,none,married,sometimes,yes,2.0,school_bus,< 5,64,60,54
12196,936,female,group E,high school,standard,none,married,regularly,yes,0.0,school_bus,> 10,73,73,65
12197,937,male,group B,some high school,free/reduced,completed,single,sometimes,yes,5.0,school_bus,< 5,60,54,50
12199,939,female,group C,some high school,standard,none,divorced,regularly,no,2.0,school_bus,5 - 10,53,58,64
12201,941,female,group C,associate's degree,free/reduced,none,married,sometimes,no,4.0,school_bus,5 - 10,55,72,66
12202,942,male,group B,high school,free/reduced,none,married,never,yes,2.0,private,5 - 10,53,60,51
12203,943,male,group C,master's degree,free/reduced,none,divorced,sometimes,yes,2.0,private,> 10,68,64,59
12204,944,male,group C,bachelor's degree,standard,completed,married,regularly,yes,2.0,private,< 5,81,78,79
12206,946,female,group C,some college,free/reduced,none,single,sometimes,no,4.0,school_bus,< 5,31,40,42
12207,947,female,group B,high school,standard,completed,married,regularly,yes,1.0,school_bus,5 - 10,90,97,94
12209,950,female,group B,some college,free/reduced,none,married,sometimes,yes,0.0,private,5 - 10,62,74,69
12210,951,male,group E,some high school,free/reduced,completed,married,sometimes,yes,1.0,school_bus,5 - 10,60,60,60
12211,952,male,group B,some high school,standard,completed,married,never,yes,6.0,school_bus,5 - 10,68,60,63
12212,953,female,group B,high school,standard,none,divorced,sometimes,yes,3.0,private,> 10,85,98,94
12213,954,male,group B,associate's degree,free/reduced,none,married,sometimes,yes,2.0,private,> 10,49,55,52
12215,956,male,group B,some college,standard,none,divorced,never,no,3.0,school_bus,> 10,55,55,51
12218,959,female,group E,some college,standard,none,single,regularly,yes,1.0,school_bus,5 - 10,64,68,60
12219,960,male,group D,associate's degree,standard,completed,single,regularly,yes,0.0,private,< 5,55,47,52
12220,961,male,group B,high school,free/reduced,none,single,sometimes,yes,3.0,school_bus,5 - 10,58,57,51
12223,964,female,group C,some college,standard,none,divorced,sometimes,yes,2.0,private,< 5,62,67,67
12224,965,female,group C,some high school,standard,completed,single,regularly,no,1.0,private,> 10,83,83,88
12225,966,male,group C,some college,free/reduced,none,married,regularly,yes,1.0,private,5 - 10,69,61,63
12228,970,male,group D,high school,free/reduced,none,divorced,regularly,no,1.0,school_bus,5 - 10,62,56,57
12232,975,male,group D,some high school,free/reduced,none,single,never,yes,2.0,school_bus,5 - 10,55,46,48
12234,977,female,group D,high school,standard,completed,divorced,regularly,yes,0.0,school_bus,< 5,45,44,50
12237,980,female,group C,associate's degree,standard,none,married,regularly,no,1.0,private,< 5,67,84,81
12238,981,female,group E,bachelor's degree,free/reduced,none,single,regularly,yes,3.0,private,5 - 10,62,78,77
12239,982,female,group D,associate's degree,standard,completed,single,regularly,yes,2.0,school_bus,< 5,60,84,82
12241,984,male,group D,bachelor's degree,free/reduced,none,divorced,regularly,yes,1.0,school_bus,< 5,59,52,59
12242,985,female,group E,high school,free/reduced,none,single,regularly,yes,1.0,school_bus,5 - 10,83,85,88
12246,989,male,group B,associate's degree,free/reduced,completed,married,regularly,no,1.0,school_bus,5 - 10,56,56,51
12247,990,female,group D,master's degree,standard,none,single,sometimes,yes,0.0,school_bus,5 - 10,82,91,97
12251,995,female,group B,associate's degree,standard,none,married,never,yes,3.0,private,5 - 10,75,88,85
12252,996,male,group D,bachelor's degree,free/reduced,completed,divorced,regularly,yes,3.0,school_bus,> 10,62,60,61
12254,998,female,group C,some college,free/reduced,none,married,regularly,yes,2.0,private,> 10,53,66,58
12255,999,female,group C,associate's degree,standard,completed,divorced,never,yes,0.0,school_bus,5 - 10,65,88,78
12257,1,female,group E,associate's degree,standard,none,single,regularly,yes,1.0,private,5 - 10,79,74,74
12258,2,male,group D,associate's degree,standard,completed,married,regularly,no,3.0,school_bus,5 - 10,73,59,65
12259,3,female,group A,high school,standard,none,married,regularly,yes,2.0,private,5 - 10,70,82,79
12260,5,male,group C,high school,free/reduced,completed,married,regularly,yes,1.0,private,5 - 10,58,66,60
12261,8,female,group C,some college,standard,none,married,sometimes,yes,4.0,private,< 5,68,69,68
12262,9,male,group C,some high school,standard,none,single,sometimes,no,4.0,school_bus,5 - 10,73,72,73
12263,10,male,group B,bachelor's degree,standard,completed,married,sometimes,no,2.0,school_bus,5 - 10,95,100,98
12265,13,male,group B,high school,free/reduced,none,divorced,never,yes,4.0,private,< 5,42,49,39
12266,14,female,group B,associate's degree,standard,none,single,regularly,yes,1.0,school_bus,< 5,64,76,74
12267,15,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,3.0,private,< 5,55,58,55
12270,19,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,1.0,private,5 - 10,73,83,81
12271,20,female,group C,some college,standard,completed,single,sometimes,yes,2.0,school_bus,< 5,62,65,61
12273,22,female,group C,master's degree,standard,none,married,regularly,yes,0.0,school_bus,> 10,72,74,83
12274,23,male,group E,associate's degree,free/reduced,none,married,sometimes,yes,3.0,private,< 5,33,28,30
12275,24,male,group D,some high school,standard,completed,married,never,yes,4.0,school_bus,5 - 10,76,62,68
12276,25,female,group C,associate's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,< 5,32,58,54
12277,26,female,group A,high school,standard,completed,single,sometimes,yes,1.0,private,5 - 10,72,90,86
12278,27,female,group D,associate's degree,free/reduced,none,married,regularly,yes,0.0,private,> 10,51,63,59
12279,29,male,group E,master's degree,standard,none,divorced,never,yes,4.0,school_bus,< 5,94,97,95
12280,30,male,group D,high school,standard,none,single,regularly,yes,0.0,school_bus,< 5,85,77,72
12283,35,male,group A,some high school,free/reduced,none,widowed,sometimes,yes,2.0,private,5 - 10,21,39,29
12284,36,male,group E,high school,standard,none,divorced,regularly,no,1.0,school_bus,> 10,68,58,52
12287,40,male,group C,some high school,free/reduced,none,single,sometimes,no,3.0,private,5 - 10,75,78,68
12288,41,male,group C,high school,standard,none,divorced,regularly,no,2.0,private,< 5,77,69,71
12289,42,female,group E,associate's degree,standard,none,married,regularly,yes,1.0,private,5 - 10,70,75,73
12290,43,female,group E,some college,standard,completed,single,sometimes,yes,2.0,private,> 10,85,91,91
12291,44,male,group A,some high school,free/reduced,none,single,sometimes,no,2.0,school_bus,5 - 10,44,47,45
12292,45,female,group B,high school,standard,none,married,never,yes,1.0,school_bus,< 5,63,79,69
12294,47,female,group C,high school,standard,none,single,sometimes,yes,1.0,private,5 - 10,57,68,62
12298,51,male,group C,bachelor's degree,free/reduced,none,married,sometimes,no,4.0,private,5 - 10,70,62,65
12299,52,female,group A,high school,standard,none,married,regularly,yes,2.0,private,5 - 10,60,71,62
12301,54,female,group D,associate's degree,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,59,71,75
12304,57,male,group E,some high school,free/reduced,none,single,sometimes,no,1.0,school_bus,< 5,63,65,54
12306,59,female,group D,some college,standard,completed,single,never,yes,2.0,private,5 - 10,79,97,97
12307,60,female,group D,high school,free/reduced,none,divorced,sometimes,yes,2.0,private,5 - 10,58,86,79
12308,61,male,group E,high school,standard,none,single,regularly,no,1.0,private,> 10,68,52,50
12309,62,female,group C,bachelor's degree,standard,none,married,regularly,no,2.0,school_bus,< 5,70,82,80
12310,63,male,group B,high school,free/reduced,none,married,regularly,yes,1.0,school_bus,> 10,58,39,40
12316,69,male,group A,some high school,standard,none,married,sometimes,yes,5.0,school_bus,< 5,82,79,74
12317,70,male,group D,bachelor's degree,standard,completed,single,regularly,yes,3.0,private,< 5,58,58,68
12318,71,female,group B,some college,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,39,41,44
12319,72,male,group C,associate's degree,free/reduced,completed,married,regularly,yes,4.0,school_bus,5 - 10,60,64,58
12323,77,male,group C,some college,standard,completed,single,regularly,yes,1.0,private,5 - 10,69,64,66
12324,78,female,group E,some high school,free/reduced,none,married,sometimes,no,3.0,school_bus,> 10,58,48,53
12325,79,male,group A,associate's degree,free/reduced,none,married,regularly,yes,3.0,school_bus,5 - 10,80,80,75
12326,80,male,group D,associate's degree,free/reduced,none,married,regularly,no,4.0,school_bus,5 - 10,40,34,33
12327,81,male,group B,associate's degree,free/reduced,completed,married,regularly,yes,3.0,private,5 - 10,74,59,68
12328,82,male,group E,some college,standard,none,single,never,no,2.0,school_bus,> 10,76,69,65
12331,85,male,group C,high school,standard,completed,divorced,sometimes,no,2.0,private,< 5,64,66,62
12332,86,male,group C,associate's degree,free/reduced,completed,married,sometimes,yes,4.0,private,5 - 10,73,72,71
12333,87,male,group C,high school,standard,none,single,never,yes,2.0,private,5 - 10,73,69,61
12336,90,male,group C,some high school,free/reduced,none,married,regularly,yes,3.0,private,5 - 10,66,71,64
12337,91,male,group B,high school,standard,none,married,sometimes,yes,2.0,school_bus,< 5,71,68,66
12338,92,male,group D,some college,free/reduced,completed,single,never,yes,1.0,school_bus,< 5,76,70,71
12339,94,female,group C,some college,free/reduced,none,married,regularly,no,4.0,private,> 10,55,65,65
12340,95,male,group E,high school,standard,none,married,regularly,no,3.0,school_bus,< 5,87,74,73
12341,96,female,group D,bachelor's degree,standard,completed,divorced,regularly,yes,3.0,school_bus,5 - 10,91,100,100
12342,97,male,group E,some high school,standard,completed,married,sometimes,yes,4.0,private,> 10,85,79,78
12343,98,female,group C,some high school,standard,none,married,regularly,yes,2.0,private,> 10,51,60,59
12344,99,female,group C,high school,standard,completed,married,sometimes,yes,2.0,private,< 5,50,63,63
12345,100,female,group D,high school,free/reduced,completed,married,never,yes,1.0,private,< 5,71,97,92
12346,101,male,group C,associate's degree,free/reduced,none,married,regularly,yes,5.0,school_bus,5 - 10,41,22,24
12347,102,female,group E,bachelor's degree,standard,completed,widowed,never,no,2.0,school_bus,5 - 10,94,94,97
12348,103,male,group B,some college,free/reduced,none,married,never,yes,3.0,school_bus,5 - 10,44,44,39
12350,105,female,group A,some high school,standard,completed,single,sometimes,no,1.0,private,> 10,70,80,74
12351,106,female,group C,high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,5 - 10,59,78,85
12352,107,female,group E,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,< 5,90,98,98
12353,108,female,group D,some high school,free/reduced,none,single,regularly,yes,1.0,school_bus,5 - 10,46,65,65
12354,109,male,group D,associate's degree,free/reduced,none,single,regularly,yes,1.0,school_bus,5 - 10,51,49,48
12355,110,female,group D,some college,free/reduced,none,single,sometimes,yes,5.0,private,5 - 10,36,43,47
12357,112,female,group D,some high school,free/reduced,none,single,sometimes,yes,0.0,school_bus,5 - 10,57,67,69
12359,114,male,group C,bachelor's degree,free/reduced,completed,married,sometimes,yes,1.0,private,< 5,84,94,91
12360,115,male,group A,some high school,standard,completed,single,regularly,no,5.0,private,> 10,58,45,54
12361,116,male,group C,associate's degree,free/reduced,none,single,sometimes,no,2.0,private,> 10,55,47,43
12362,117,female,group B,bachelor's degree,free/reduced,none,married,sometimes,yes,1.0,private,< 5,42,56,57
12363,119,female,group E,bachelor's degree,standard,none,single,regularly,yes,0.0,school_bus,< 5,87,99,93
12364,120,female,group B,some high school,standard,none,married,sometimes,yes,0.0,private,< 5,42,50,49
12365,121,male,group C,some high school,standard,none,married,regularly,yes,0.0,private,5 - 10,67,56,56
